lat:49.6498800 lon:19.8317800
lat:49.6490100 lon:19.8485400
lat:49.6530100 lon:19.8380400
lat:49.6491300 lon:19.8313500
lat:49.6541600 lon:19.8386300
lat:49.6531400 lon:19.8260300
lat:49.6331000 lon:19.8280500
lat:49.6529700 lon:19.8261300
lat:49.6542200 lon:19.8304300
lat:49.6530500 lon:19.8263800
lat:49.6320200 lon:19.8266600
lat:49.6526700 lon:19.8265500
lat:49.6534900 lon:19.8248700
lat:49.6304900 lon:19.8349800
lat:49.6535100 lon:19.8261800
lat:49.6540300 lon:19.8280300
lat:49.6378300 lon:19.8353500
lat:49.6541500 lon:19.8288400
lat:49.6532300 lon:19.8268200
lat:49.6526000 lon:19.8237800
lat:49.6540100 lon:19.8253400
lat:49.6419700 lon:19.8284200
lat:49.6516700 lon:19.8230200
lat:49.6488500 lon:19.8263200
lat:49.6452600 lon:19.8268300
lat:49.6527000 lon:19.8227600
lat:49.6510100 lon:19.8315100
lat:49.6501900 lon:19.8333700
lat:49.6460300 lon:19.8286700
lat:49.6484300 lon:19.8488600
lat:49.6533400 lon:19.8393400
lat:49.6513000 lon:19.8366300
lat:49.6536100 lon:19.8267200
lat:49.6298200 lon:19.8348100
lat:49.6495500 lon:19.8318300
lat:49.6490900 lon:19.8450800
lat:49.6535300 lon:19.8349300
lat:49.6507700 lon:19.8354200
lat:49.6399000 lon:19.8384100
lat:49.6506900 lon:19.8383800
lat:49.6552100 lon:19.8300600
lat:49.6537600 lon:19.8353500
lat:49.6361900 lon:19.8286800
lat:49.6536500 lon:19.8282000
lat:49.6545900 lon:19.8318100
lat:49.6534900 lon:19.8280100
lat:49.6542000 lon:19.8279600
lat:49.6540900 lon:19.8261700
lat:49.6535600 lon:19.8255400
lat:49.6511900 lon:19.8313700
lat:49.6493000 lon:19.8487100
lat:49.6523900 lon:19.8240100
lat:49.6489300 lon:19.8259100
lat:49.6454100 lon:19.8269000
lat:49.6523900 lon:19.8331200
lat:49.6497300 lon:19.8328500
lat:49.6415700 lon:19.8286800
lat:49.6491100 lon:19.8499000
lat:49.6531000 lon:19.8393000
lat:49.6533500 lon:19.8252600
lat:49.6522800 lon:19.8331000
lat:49.6493300 lon:19.8490200
lat:49.6515200 lon:19.8224800
lat:49.6488100 lon:19.8261800
lat:49.6460400 lon:19.8273900
lat:49.6527100 lon:19.8242900
lat:49.6510600 lon:19.8315900
lat:49.6487500 lon:19.8499000
lat:49.6511300 lon:19.8369200
lat:49.6491900 lon:19.8315100
lat:49.6371600 lon:19.8260600
lat:49.6404900 lon:19.8283300
lat:49.6481400 lon:19.8506400
lat:49.6519200 lon:19.8240800
lat:49.6488900 lon:19.8258000
lat:49.6449500 lon:19.8271200
lat:49.6524700 lon:19.8331900
lat:49.6497600 lon:19.8329300
lat:49.6414400 lon:19.8287500
lat:49.6483300 lon:19.8492500
lat:49.6530200 lon:19.8399300
lat:49.6545700 lon:19.8378300
lat:49.6515200 lon:19.8372700
lat:49.6368400 lon:19.8256200
lat:49.6403000 lon:19.8282900
lat:49.6483500 lon:19.8498800
lat:49.6494300 lon:19.8502500
lat:49.6486600 lon:19.8261600
lat:49.6511100 lon:19.8316700
lat:49.6493700 lon:19.8505500
lat:49.6529200 lon:19.8369300
lat:49.6511900 lon:19.8372200
